#timestamp,#frame_is_ok,#U1,#U2,#U3,#current1,#activepow1,#current2,#activepow2,#current3,#activepow3,#current4,#activepow4,#current5,#activepow5,#current6,#activepow6
1745428511.039678535,true,239.4,0.0,0.0,0.1,0.9,0.0,-0.0,0.0,0.0,0.0,-0.0,0.8,182.0,0.0,0.0
1745428511.050052695,true,240.2,0.0,0.0,0.1,0.9,0.0,-0.0,0.0,0.0,0.0,-0.0,0.8,183.2,0.0,0.0
1745428511.059675491,true,240.2,0.0,0.0,0.1,0.9,0.0,-0.0,0.0,0.0,0.0,-0.0,0.8,183.2,0.0,0.0
1745428511.069926682,true,240.2,0.0,0.0,0.1,0.9,0.0,-0.0,0.0,0.0,0.0,-0.0,0.8,183.2,0.0,0.0
1745428511.079677879,true,240.1,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,181.8,0.0,0.0
1745428511.089926764,true,240.1,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,181.8,0.0,0.0
1745428511.100178622,true,239.3,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,180.6,0.0,0.0
1745428511.109926275,true,240.9,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,183.0,0.0,0.0
1745428511.119550654,true,239.5,0.0,0.0,0.1,1.2,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,182.2,0.0,0.0
1745428511.129804322,true,240.3,0.0,0.0,0.1,1.2,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,183.4,0.0,0.0
1745428511.139548614,true,240.3,0.0,0.0,0.1,1.2,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,183.4,0.0,0.0
1745428511.149800567,true,240.3,0.0,0.0,0.1,1.2,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,183.4,0.0,0.0
1745428511.160056600,true,240.4,0.0,0.0,0.1,1.1,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,188.7,0.0,0.0
1745428511.169800355,true,240.4,0.0,0.0,0.1,1.1,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,188.7,0.0,0.0
1745428511.180050087,true,239.7,0.0,0.0,0.1,1.1,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,187.5,0.0,0.0
1745428511.189803618,true,240.4,0.0,0.0,0.1,1.1,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,188.7,0.0,0.0
1745428511.200050271,true,240.4,0.0,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,183.8,0.0,0.0
1745428511.209676793,true,240.4,0.0,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,183.8,0.0,0.0
1745428511.220055119,true,240.4,0.0,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,183.8,0.0,0.0
1745428511.229676060,true,240.4,0.0,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,183.8,0.0,0.0
1745428511.239926200,true,239.6,0.0,0.0,0.1,1.2,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,182.0,0.0,0.0
1745428511.249677869,true,240.3,0.0,0.0,0.1,1.2,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,183.1,0.0,0.0
1745428511.259927946,true,240.3,0.0,0.0,0.1,1.2,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,183.1,0.0,0.0
1745428511.269550623,true,240.3,0.0,0.0,0.1,1.2,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,183.1,0.0,0.0
1745428511.279801824,true,240.2,0.0,0.0,0.1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.8,182.7,0.0,0.0
1745428511.289553181,true,240.2,0.0,0.0,0.1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.8,182.7,0.0,0.0
1745428511.299801723,true,239.4,0.0,0.0,0.1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.8,181.5,0.0,0.0
1745428511.309551633,true,240.2,0.0,0.0,0.1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.8,182.7,0.0,0.0
1745428511.319802322,true,240.1,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,182.5,0.0,0.0
1745428511.329551762,true,240.1,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,182.5,0.0,0.0
1745428511.339804381,true,240.1,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,182.5,0.0,0.0
1745428511.349426326,true,240.1,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,182.5,0.0,0.0
1745428511.359681389,true,239.4,0.0,0.0,0.1,1.1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.8,182.2,0.0,0.0
1745428511.370052160,true,240.1,0.0,0.0,0.1,1.1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.8,183.4,0.0,0.0
1745428511.379677534,true,240.1,0.0,0.0,0.1,1.1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.8,183.4,0.0,0.0
1745428511.390057461,true,240.1,0.0,0.0,0.1,1.1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.8,183.4,0.0,0.0
1745428511.399676712,true,240.2,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,183.1,0.0,0.0
1745428511.409926027,true,240.2,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,183.1,0.0,0.0
1745428511.419677241,true,239.4,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,181.9,0.0,0.0
1745428511.429927012,true,240.2,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,183.1,0.0,0.0
1745428511.439553537,true,240.2,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,182.2,0.0,0.0
1745428511.449801518,true,240.2,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,182.2,0.0,0.0
1745428511.459552895,true,240.2,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,182.2,0.0,0.0
1745428511.469802814,true,240.2,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,-0.0,0.8,182.2,0.0,0.0
1745428511.479551929,true,240.2,0.0,0.0,0.1,1.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.8,186.9,0.0,0.0
1745428511.489803467,true,240.2,0.0,0.0,0.1,1.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.8,186.9,0.0,0.0
